fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
6.8,0.34,0.44,6.6,0.052,28,156,0.9955,3.14,0.41,9.6,5.0
8.3,0.21,0.41,2.2,0.05,24,108,0.994,2.85,0.45,9.5,5.0
7.2,0.19,0.31,1.4,0.046,37,135,0.9939,3.34,0.57,10.2,7.0
6.6,0.38,0.29,2.4,0.136,15,93,0.99336,3.18,0.6,9.5,5.0
6.5,0.24,0.39,17.3,0.052,22,126,0.99888,3.11,0.47,9.2,6.0
6.1,0.31,0.26,2.2,0.051,28,167,0.9926,3.37,0.47,10.4,6.0
7.5,0.42,0.45,9.1,0.029,20,125,0.996,3.12,0.36,10.1,6.0
6.8,0.46,0.26,6.3,0.147,49,159,0.99434,3.14,0.47,10.0,5.0
7.4,0.26,0.29,3.7,0.048,14,73,0.9915,3.06,0.45,11.4,6.0
6.3,0.28,0.34,8.1,0.038,44,129,0.99248,3.26,0.29,12.1,6.0
5.8,0.25,0.24,13.3,0.044,41,137,0.9972,3.34,0.42,9.5,5.0
6.8,0.21,0.36,18.1,0.046,32,133,1,3.27,0.48,8.8,5.0
6.8,0.32,0.37,3.4,0.023,19,87,0.9902,3.14,0.53,12.7,6.0
8.2,0.27,0.43,1.6,0.035,31,128,0.9916,3.1,0.5,12.3,6.0
6.1,0.19,0.37,2.6,0.041,24,99,0.99153,3.18,0.5,10.9,6.0
6.5,0.46,0.41,16.8,0.084,59,222,0.9993,3.18,0.58,9.0,5.0
6.2,0.38,0.18,7.4,0.095,28,195,0.99773,3.53,0.71,9.2,4.0
8.3,0.24,0.27,2.1,0.03,22,162,0.9914,2.99,0.68,11.9,6.0
7.3,0.37,0.16,14.9,0.048,59,240,0.99902,3.13,0.45,8.9,5.0
5,0.33,0.16,1.5,0.049,10,97,0.9917,3.48,0.44,10.7,6.0
6.9,0.19,0.38,1.15,0.023,30,105,0.99047,3.11,0.38,11.4,5.0
7.2,0.29,0.4,13.6,0.045,66,231,0.9977,3.08,0.59,9.6,6.0
6.8,0.22,0.36,1.2,0.052,38,127,0.9933,3.04,0.54,9.2,5.0
